Time 1-10.1.2.2-10.1.1.2 Aggregate-Flow
12.650000 0.040195 0.040195
12.660000 0.040196 0.040196
12.670000 0.040195 0.040195
12.680000 0.040198 0.040198
12.690000 0.040198 0.040198
12.700000 0.040196 0.040196
12.710000 0.040195 0.040195
12.720000 0.040198 0.040198
12.730000 0.040197 0.040197
12.740000 0.040198 0.040198
12.750000 0.040195 0.040195
12.760000 0.040195 0.040195
12.770000 0.040197 0.040197
12.780000 0.040195 0.040195
12.790000 0.040197 0.040197
12.800000 0.040197 0.040197
12.810000 0.040196 0.040196
12.820000 0.040199 0.040199
12.830000 0.040195 0.040195
12.840000 0.040193 0.040193
12.850000 0.040195 0.040195
12.860000 0.040195 0.040195
12.870000 0.040197 0.040197
12.880000 0.040197 0.040197
12.890000 0.040198 0.040198
12.900000 0.040197 0.040197
12.910000 0.040194 0.040194
12.920000 0.040198 0.040198
12.930000 0.040198 0.040198
12.940000 0.040197 0.040197
12.950000 0.040195 0.040195
12.960000 0.040195 0.040195
12.970000 0.040198 0.040198
12.980000 0.040196 0.040196
12.990000 0.040194 0.040194
13.000000 0.040195 0.040195
13.010000 0.040197 0.040197
13.020000 0.040194 0.040194
13.030000 0.040193 0.040193
13.040000 0.040196 0.040196
13.050000 0.040198 0.040198
13.060000 0.040197 0.040197
13.070000 0.040196 0.040196
13.080000 0.040196 0.040196
13.090000 0.040197 0.040197
13.100000 0.040197 0.040197
13.110000 0.040195 0.040195
13.120000 0.040196 0.040196
13.130000 0.040196 0.040196
13.140000 0.040195 0.040195
13.150000 0.040195 0.040195
13.160000 0.040194 0.040194
13.170000 0.040200 0.040200
13.180000 0.040196 0.040196
13.190000 0.040197 0.040197
13.200000 0.040197 0.040197
13.210000 0.040193 0.040193
13.220000 0.040199 0.040199
13.230000 0.040197 0.040197
13.240000 0.040195 0.040195
13.250000 0.040195 0.040195
13.260000 0.040195 0.040195
13.270000 0.040195 0.040195
13.280000 0.040195 0.040195
13.290000 0.040195 0.040195
13.300000 0.040198 0.040198
13.310000 0.040194 0.040194
13.320000 0.040195 0.040195
13.330000 0.040212 0.040212
13.340000 0.040208 0.040208
13.350000 0.040209 0.040209
13.360000 0.040214 0.040214
13.370000 0.040208 0.040208
13.380000 0.040205 0.040205
13.390000 0.040197 0.040197
13.400000 0.040198 0.040198
13.410000 0.040197 0.040197
13.420000 0.040194 0.040194
13.430000 0.040191 0.040191
13.440000 0.040197 0.040197
13.450000 0.040199 0.040199
13.460000 0.040196 0.040196
13.470000 0.040195 0.040195
13.480000 0.040196 0.040196
13.490000 0.040196 0.040196
13.500000 0.040195 0.040195
13.510000 0.040196 0.040196
13.520000 0.040196 0.040196
13.530000 0.040195 0.040195
13.540000 0.040194 0.040194
